dt/hr	s1	n1	s2	n2	s3	n3	s4	n4	s5	n5	s6	n6	s7	n7	s8	n8	s9	n9	s10	n10	s11	n11	s12	n12	s13	n13	s14	n14	s15	n15	s16	n16	s17	n17	s18	n18	s19	n19	s20	n20	s21	n21	s22	n22	s23	n23	s24	n24	s25	n25	s26	n26	s27	n27	s28	n28	s29	n29	s30	n30	s31	n31	s32	n32
2013-09-12 09:34:37	0,828798	0,029623	1,313713	0,046366	1,230318	0,037995	1,050326	0,028013	-0,005127	0,007728	1,099269	0,047332	0,323598	0,088869	1,085745	0,026403	1,316933	0,044756	1,211642	0,032843	1,297614	0,037028	0,936664	0,034131	1,043242	0,054738	1,195865	0,025437	1,113758	0,044112	1,085423	0,04862	1,184231	0,046378	1,103716	0,025443	1,631902	0,041546	1,048965	0,036071	1,33528	0,054429	1,166518	0,032206	1,144295	0,046378	1,293734	0,040902	1,799698	0,046699	2,120797	0,104349	1,284394	0,04992	1,292446	0,032528	1,214828	0,04992	1,142041	0,033495	1,239304	0,049598	1,248645	0,030596
2013-06-26 16:24:46	1,085101	0,026081	0,823002	0,024149	0,906075	0,024471	0,750555	0,018675	1,022313	0,025437	0,911227	0,05345	1,120198	0,023505	0,672311	0,031233	1,070612	0,024471	1,002994	0,035097	1,035837	0,026725	0,954696	0,032843	0,89706	0,030267	0,941816	0,028657	1,074154	0,032199	0,917023	0,030589	0,818688	0,03124	1,021911	0,036393	1,040591	0,035427	0,533339	0,016425	1,064745	0,033495	1,058304	0,023511	0,889221	0,035105	0,881491	0,031885	1,069899	0,031884	1,677635	0,058938	0,981008	0,035428	0,939462	0,039292	0,966194	0,038326	1,014181	0,039936	0,967483	0,035427	0,78938	0,033173
2013-06-26 15:07:38	0,913481	0,01288	0,598898	0,01288	0,764078	0,011592	0,69324	0,012558	0,842644	0,013201	0,762146	0,022861	0,877418	0,01449	0,60405	0,018031	0,857133	0,011914	0,85488	0,018997	0,823324	0,015455	0,728981	0,018354	0,709662	0,016744	0,709341	0,015777	0,893517	0,015134	0,761825	0,015455	0,665385	0,020612	0,790346	0,021578	0,805484	0,022544	0,355559	0,018036	0,888576	0,024799	0,98584	0,016747	0,693083	0,022223	0,732697	0,024477	0,891475	0,021578	1,721436	0,039936	0,805484	0,019323	0,935597	0,025121	0,872473	0,02029	0,658944	0,025121	0,766836	0,023188	0,85798	0,022867
2013-06-26 16:35:49	0,928292	0,014812	0,522909	0,012879	0,866149	0,013845	0,510029	0,01127	0,909618	0,014811	0,733168	0,023505	0,907364	0,015455	0,714814	0,017709	0,856811	0,013845	0,772128	0,021251	0,934732	0,016422	0,656856	0,020607	0,836204	0,018031	0,779856	0,016099	0,820104	0,018676	0,672311	0,015134	0,613533	0,025765	0,665064	0,02029	0,917562	0,023189	0,353949	0,013527	0,971991	0,021578	0,604193	0,025443	0,790669	0,026409	0,588412	0,019645	0,778108	0,023188	1,282462	0,035105	0,787126	0,024155	0,720458	0,015137	0,759429	0,021578	0,620297	0,022866	0,851217	0,023188	0,642519	0,022544
2013-06-26 14:49:35	1,288277	0,032199	0,690021	0,030589	1,214863	0,030911	0,767942	0,04862	1,24191	0,032521	1,020059	0,05989	1,286023	0,036062	1,005248	0,049908	1,263805	0,032521	1,092507	0,044756	1,219049	0,032843	0,864217	0,039926	1,242876	0,041536	1,069646	0,047654	1,352996	0,053128	1,008468	0,029945	1,032861	0,05153	0,946225	0,040258	1,341077	0,042191	0,705965	0,077618	1,355893	0,041224	1,163298	0,051208	1,151703	0,04058	1,059593	0,054428	1,429645	0,035749	2,043502	0,055717	1,181333	0,03285	1,237695	0,041224	1,228998	0,038326	0,998722	0,055073	1,112733	0,036715	1,142041	0,039936
2013-06-26 15:15:53	1,347845	0,030911	1,102488	0,028657	1,156583	0,033487	1,096049	0,022217	1,307918	0,042502	1,22259	0,052162	1,354929	0,030588	0,964033	0,032843	1,347523	0,028335	1,332067	0,035418	1,278617	0,031554	1,25318	0,029945	1,042277	0,027691	1,206813	0,025115	1,277007	0,036063	1,212931	0,026725	1,048321	0,037037	1,239949	0,030918	1,147838	0,035749	0,718526	0,016104	1,305328	0,033172	1,371673	0,021901	1,011283	0,040902	1,007418	0,031241	1,247357	0,034138	2,098575	0,061192	1,278275	0,030918	1,230609	0,044445	1,175536	0,038004	1,218371	0,033172	1,238016	0,038648	1,095019	0,037682
2013-06-26 14:59:22	1,212287	0,031233	0,718356	0,023505	1,12374	0,027691	0,728016	0,023505	1,18524	0,029945	0,973693	0,057636	1,213897	0,031555	0,969507	0,031233	1,174615	0,030267	1,096693	0,041858	1,142737	0,031877	0,863573	0,04218	1,094117	0,037029	1,053224	0,033487	1,205847	0,041214	0,965	0,032843	0,992281	0,042512	0,913375	0,034783	1,271511	0,049598	0,577139	0,023833	1,2261	0,038326	1,033506	0,026731	1,123684	0,046055	0,913697	0,03124	1,363622	0,037359	1,879571	0,051208	1,121429	0,035105	1,164264	0,023511	1,124006	0,0438	0,886321	0,036716	1,13882	0,043479	1,035438	0,036393
2013-06-26 14:50:35	1,200373	0,021574	0,64784	0,018675	1,090575	0,021573	0,649128	0,02093	1,257043	0,022862	0,796277	0,046045	1,088643	0,023827	0,88418	0,029623	1,184918	0,020607	1,021026	0,031233	1,218726	0,023184	0,701613	0,027691	1,154007	0,027369	0,950831	0,021252	1,169785	0,027369	0,773738	0,020929	0,85798	0,03124	0,856048	0,027375	1,318533	0,036071	0,463451	0,024477	1,220625	0,030918	0,768446	0,026731	1,091477	0,031563	0,703389	0,02802	1,039625	0,028341	1,496313	0,043801	1,020623	0,030274	0,974568	0,019323	1,099851	0,034139	0,798398	0,026731	1,105326	0,033172	0,837689	0,029952
2013-06-26 15:07:43	1,211321	0,030589	1,077051	0,022862	1,208423	0,028335	0,917989	0,024471	1,214219	0,028013	1,114403	0,041858	1,225488	0,025115	0,809801	0,029945	1,220014	0,024793	1,220981	0,029301	1,150787	0,028657	1,108928	0,023827	0,928614	0,029301	1,159159	0,022539	1,063528	0,040248	1,083492	0,023183	0,98745	0,038969	1,235118	0,030596	0,968771	0,038647	0,636078	0,020612	1,16845	0,030597	1,259917	0,024155	0,78777	0,037359	1,146228	0,028664	1,006452	0,033172	2,077319	0,055073	1,108546	0,032207	1,219981	0,044445	1,220303	0,035427	1,185198	0,03124	1,183266	0,031884	0,945581	0,027376
2013-06-26 14:59:11	1,346234	0,032843	0,617252	0,021573	1,157871	0,031233	0,762147	0,020929	1,230318	0,034775	1,053868	0,057314	1,346234	0,032521	0,945036	0,032199	1,283447	0,031877	1,157871	0,040893	1,211643	0,033165	0,930546	0,038639	1,231284	0,034131	1,065782	0,028657	1,338829	0,037995	0,959526	0,030911	1,1137	0,035105	0,988095	0,037359	1,348485	0,047343	0,45862	0,020934	1,460242	0,039292	1,3385	0,030596	1,113378	0,049598	0,933021	0,041224	1,465072	0,044767	2,232232	0,078584	1,257985	0,033817	1,292445	0,028342	1,31338	0,042835	0,924325	0,042835	1,173926	0,045411	1,20742	0,033173
